strategy,plane_bytes,k,n,logical_bytes,overfetch_factor,block,grid,warmup,iters,ms_per_iter,logical_GBps,device,sm,cc_major,cc_minor
byte,1,1,100000000,100000000,1.000,256,1056,10,1000,0.063237,1581.349,NVIDIA H200,132,9,0
byte,1,2,100000000,200000000,1.000,256,1056,10,1000,0.101164,1976.992,NVIDIA H200,132,9,0
byte,1,3,100000000,300000000,1.000,256,1056,10,1000,0.128990,2325.761,NVIDIA H200,132,9,0
byte,1,4,100000000,400000000,1.000,256,792,10,1000,0.169644,2357.881,NVIDIA H200,132,9,0
byte,1,5,100000000,500000000,1.000,256,1056,10,1000,0.214017,2336.266,NVIDIA H200,132,9,0
byte,1,6,100000000,600000000,1.000,256,792,10,1000,0.249484,2404.965,NVIDIA H200,132,9,0
byte,1,7,100000000,700000000,1.000,256,792,10,1000,0.296996,2356.934,NVIDIA H200,132,9,0
byte,1,8,100000000,800000000,1.000,256,792,10,1000,0.333463,2399.070,NVIDIA H200,132,9,0
