strategy,plane_bytes,k,n,logical_bytes,overfetch_factor,block,grid,warmup,iters,ms_per_iter,logical_GBps,device,sm,cc_major,cc_minor
byte,1,1,100000000,100000000,1.000,256,1056,10,1000,0.139758,715.520,NVIDIA H200,132,9,0
byte,1,2,100000000,200000000,1.000,256,1056,10,1000,0.162017,1234.435,NVIDIA H200,132,9,0
byte,1,3,100000000,300000000,1.000,256,1056,10,1000,0.176865,1696.207,NVIDIA H200,132,9,0
byte,1,4,100000000,400000000,1.000,256,1056,10,1000,0.195613,2044.850,NVIDIA H200,132,9,0
byte,1,5,100000000,500000000,1.000,256,1056,10,1000,0.216509,2309.372,NVIDIA H200,132,9,0
byte,1,6,100000000,600000000,1.000,256,1056,10,1000,0.251384,2386.786,NVIDIA H200,132,9,0
byte,1,7,100000000,700000000,1.000,256,1056,10,1000,0.308096,2272.023,NVIDIA H200,132,9,0
byte,1,8,100000000,800000000,1.000,256,1056,10,1000,0.379572,2107.635,NVIDIA H200,132,9,0
