strategy,plane_bytes,k,n,logical_bytes,overfetch_factor,block,grid,warmup,iters,ms_per_iter,logical_GBps,device,sm,cc_major,cc_minor
rowpack4,1,1,100000000,100000000,1.000,256,1056,10,1000,0.044101,2267.529,NVIDIA H200,132,9,0
rowpack4,1,2,100000000,200000000,1.000,256,1056,10,1000,0.060982,3279.678,NVIDIA H200,132,9,0
rowpack4,1,3,100000000,300000000,1.000,256,1056,10,1000,0.078853,3804.545,NVIDIA H200,132,9,0
rowpack4,1,4,100000000,400000000,1.000,256,1056,10,1000,0.098016,4080.977,NVIDIA H200,132,9,0
rowpack4,1,5,100000000,500000000,1.000,256,1056,10,1000,0.118563,4217.183,NVIDIA H200,132,9,0
rowpack4,1,6,100000000,600000000,1.000,256,1056,10,1000,0.139834,4290.796,NVIDIA H200,132,9,0
rowpack4,1,7,100000000,700000000,1.000,256,1056,10,1000,0.162270,4313.787,NVIDIA H200,132,9,0
rowpack4,1,8,100000000,800000000,1.000,256,1056,10,1000,0.184047,4346.708,NVIDIA H200,132,9,0
