strategy,plane_bytes,k,n,logical_bytes,overfetch_factor,block,grid,warmup,iters,ms_per_iter,logical_GBps,device,sm,cc_major,cc_minor
rowpack16,1,1,100000000,100000000,1.000,256,1056,10,1000,0.027219,3673.903,NVIDIA H200,132,9,0
rowpack16,1,2,100000000,200000000,1.000,256,1056,10,1000,0.048816,4096.993,NVIDIA H200,132,9,0
rowpack16,1,3,100000000,300000000,1.000,256,1056,10,1000,0.070981,4226.476,NVIDIA H200,132,9,0
rowpack16,1,4,100000000,400000000,1.000,256,1056,10,1000,0.093724,4267.872,NVIDIA H200,132,9,0
rowpack16,1,5,100000000,500000000,1.000,256,1056,10,1000,0.115275,4337.447,NVIDIA H200,132,9,0
rowpack16,1,6,100000000,600000000,1.000,256,792,10,1000,0.136949,4381.197,NVIDIA H200,132,9,0
rowpack16,1,7,100000000,700000000,1.000,256,1056,10,1000,0.160442,4362.937,NVIDIA H200,132,9,0
rowpack16,1,8,100000000,800000000,1.000,256,1056,10,1000,0.182055,4394.268,NVIDIA H200,132,9,0
