strategy,plane_bytes,k,n,logical_bytes,overfetch_factor,block,grid,warmup,iters,ms_per_iter,logical_GBps,device,sm,cc_major,cc_minor
shared128,1,1,100000000,100000000,4.000,256,1056,10,1000,0.255489,391.406,NVIDIA H200,132,9,0
shared128,1,2,100000000,200000000,4.000,256,1056,10,1000,0.387876,515.629,NVIDIA H200,132,9,0
shared128,1,3,100000000,300000000,4.000,256,1056,10,1000,0.530201,565.823,NVIDIA H200,132,9,0
shared128,1,4,100000000,400000000,4.000,256,1056,10,1000,0.680584,587.730,NVIDIA H200,132,9,0
shared128,1,5,100000000,500000000,4.000,256,1056,10,1000,0.856301,583.907,NVIDIA H200,132,9,0
shared128,1,6,100000000,600000000,4.000,256,1056,10,1000,1.004316,597.422,NVIDIA H200,132,9,0
shared128,1,7,100000000,700000000,4.000,256,1056,10,1000,1.154608,606.266,NVIDIA H200,132,9,0
shared128,1,8,100000000,800000000,4.000,256,1056,10,1000,1.294951,617.784,NVIDIA H200,132,9,0
