strategy,plane_bytes,k,n,logical_bytes,overfetch_factor,block,grid,warmup,iters,ms_per_iter,logical_GBps,device,sm,cc_major,cc_minor
byte,1,1,100000000,100000000,1.000,256,1056,10,1000,0.063163,1583.208,NVIDIA H200,132,9,0
byte,1,2,100000000,200000000,1.000,256,1056,10,1000,0.101275,1974.827,NVIDIA H200,132,9,0
byte,1,3,100000000,300000000,1.000,256,1056,10,1000,0.128839,2328.496,NVIDIA H200,132,9,0
byte,1,4,100000000,400000000,1.000,256,792,10,1000,0.169460,2360.433,NVIDIA H200,132,9,0
byte,1,5,100000000,500000000,1.000,256,1056,10,1000,0.213901,2337.526,NVIDIA H200,132,9,0
byte,1,6,100000000,600000000,1.000,256,792,10,1000,0.249330,2406.449,NVIDIA H200,132,9,0
byte,1,7,100000000,700000000,1.000,256,792,10,1000,0.296925,2357.494,NVIDIA H200,132,9,0
byte,1,8,100000000,800000000,1.000,256,792,10,1000,0.333311,2400.164,NVIDIA H200,132,9,0
