strategy,plane_bytes,k,n,logical_bytes,overfetch_factor,block,grid,warmup,iters,ms_per_iter,logical_GBps,device,sm,cc_major,cc_minor
packed32,1,1,100000000,100000000,1.000,256,1056,10,200,20.094034,4.977,NVIDIA H200,132,9,0
packed32,1,2,100000000,200000000,1.000,256,1056,10,200,20.391289,9.808,NVIDIA H200,132,9,0
packed32,1,3,100000000,300000000,1.000,256,1056,10,200,19.975471,15.018,NVIDIA H200,132,9,0
packed32,1,4,100000000,400000000,1.000,256,1056,10,200,22.443184,17.823,NVIDIA H200,132,9,0
packed32,1,5,100000000,500000000,1.000,256,1056,10,200,20.012445,24.984,NVIDIA H200,132,9,0
packed32,1,6,100000000,600000000,1.000,256,1056,10,200,20.003073,29.995,NVIDIA H200,132,9,0
packed32,1,7,100000000,700000000,1.000,256,1056,10,200,20.029182,34.949,NVIDIA H200,132,9,0
packed32,1,8,100000000,800000000,1.000,256,1056,10,200,20.101202,39.799,NVIDIA H200,132,9,0
