epsilon_type,epsilon,aggregation,dataset,k_star
relative,1.0000000000000001e-09,min,Sensor,4
relative,9.9999999999999995e-07,min,Sensor,2
relative,0.0001,min,Sensor,2
relative,0.001,min,Sensor,1
relative,0.01,min,Sensor,1
relative,0.050000000000000003,min,Sensor,1
relative,0.10000000000000001,min,Sensor,1
relative,0.20000000000000001,min,Sensor,1
relative,0,min,Uniform,8
relative,9.9999999999999998e-13,min,Uniform,8
relative,1.0000000000000001e-09,min,Uniform,6
relative,9.9999999999999995e-07,min,Uniform,6
relative,0.0001,min,Uniform,5
relative,0.001,min,Uniform,5
relative,0.01,min,Uniform,4
relative,0.050000000000000003,min,Uniform,4
relative,0.10000000000000001,min,Uniform,4
relative,0.20000000000000001,min,Uniform,4
relative,0,min,Heavy-tailed,NA
relative,9.9999999999999998e-13,min,Heavy-tailed,NA
relative,1.0000000000000001e-09,min,Heavy-tailed,NA
relative,9.9999999999999995e-07,min,Heavy-tailed,NA
relative,0.0001,min,Heavy-tailed,NA
relative,0.001,min,Heavy-tailed,NA
relative,0.01,min,Heavy-tailed,NA
relative,0.050000000000000003,min,Heavy-tailed,NA
relative,0.10000000000000001,min,Heavy-tailed,NA
relative,0.20000000000000001,min,Heavy-tailed,NA
relative,0,min,Zipfian,NA
relative,9.9999999999999998e-13,min,Zipfian,7
relative,1.0000000000000001e-09,min,Zipfian,1
relative,9.9999999999999995e-07,min,Zipfian,1
relative,0.0001,min,Zipfian,1
relative,0.001,min,Zipfian,1
relative,0.01,min,Zipfian,1
relative,0.050000000000000003,min,Zipfian,1
relative,0.10000000000000001,min,Zipfian,1
relative,0.20000000000000001,min,Zipfian,1
relative,0,max,Sensor,7
relative,9.9999999999999998e-13,max,Sensor,5
relative,1.0000000000000001e-09,max,Sensor,4
relative,9.9999999999999995e-07,max,Sensor,3
relative,0.0001,max,Sensor,1
relative,0.001,max,Sensor,1
relative,0.01,max,Sensor,1
relative,0.050000000000000003,max,Sensor,1
relative,0.10000000000000001,max,Sensor,1
relative,0.20000000000000001,max,Sensor,1
relative,0,max,Uniform,7
relative,9.9999999999999998e-13,max,Uniform,5
relative,1.0000000000000001e-09,max,Uniform,4
relative,9.9999999999999995e-07,max,Uniform,3
relative,0.0001,max,Uniform,2
relative,0.001,max,Uniform,2
relative,0.01,max,Uniform,1
relative,0.050000000000000003,max,Uniform,1
relative,0.10000000000000001,max,Uniform,1
relative,0.20000000000000001,max,Uniform,1
relative,0,max,Heavy-tailed,7
relative,9.9999999999999998e-13,max,Heavy-tailed,5
relative,1.0000000000000001e-09,max,Heavy-tailed,4
relative,9.9999999999999995e-07,max,Heavy-tailed,3
relative,0.0001,max,Heavy-tailed,2
relative,0.001,max,Heavy-tailed,2
relative,0.01,max,Heavy-tailed,1
relative,0.050000000000000003,max,Heavy-tailed,1
relative,0.10000000000000001,max,Heavy-tailed,1
relative,0.20000000000000001,max,Heavy-tailed,1
relative,0,max,Zipfian,7
relative,9.9999999999999998e-13,max,Zipfian,5
relative,1.0000000000000001e-09,max,Zipfian,4
relative,9.9999999999999995e-07,max,Zipfian,3
relative,0.0001,max,Zipfian,2
relative,0.001,max,Zipfian,2
relative,0.01,max,Zipfian,1
relative,0.050000000000000003,max,Zipfian,1
relative,0.10000000000000001,max,Zipfian,1
relative,0.20000000000000001,max,Zipfian,1
relative,0,var,Sensor,7
relative,9.9999999999999998e-13,var,Sensor,5
relative,1.0000000000000001e-09,var,Sensor,3
relative,9.9999999999999995e-07,var,Sensor,2
relative,0.0001,var,Sensor,1
relative,0.001,var,Sensor,1
relative,0.01,var,Sensor,1
relative,0.050000000000000003,var,Sensor,1
relative,0.10000000000000001,var,Sensor,1
relative,0.20000000000000001,var,Sensor,1
relative,0,var,Uniform,7
relative,9.9999999999999998e-13,var,Uniform,4
relative,1.0000000000000001e-09,var,Uniform,2
relative,9.9999999999999995e-07,var,Uniform,2
relative,0.0001,var,Uniform,1
relative,0.001,var,Uniform,1
relative,0.01,var,Uniform,1
relative,0.050000000000000003,var,Uniform,1
