strategy,plane_bytes,k,n,logical_bytes,overfetch_factor,block,grid,warmup,iters,ms_per_iter,logical_GBps,device,sm,cc_major,cc_minor
byte,1,1,100000000,100000000,1.000,256,1056,10,200,0.140218,713.176,NVIDIA H200,132,9,0
byte,1,2,100000000,200000000,1.000,256,1056,10,200,0.162470,1230.993,NVIDIA H200,132,9,0
byte,1,3,100000000,300000000,1.000,256,1056,10,200,0.176530,1699.430,NVIDIA H200,132,9,0
byte,1,4,100000000,400000000,1.000,256,1056,10,200,0.194309,2058.577,NVIDIA H200,132,9,0
byte,1,5,100000000,500000000,1.000,256,1056,10,200,0.214490,2331.110,NVIDIA H200,132,9,0
byte,1,6,100000000,600000000,1.000,256,1056,10,200,0.339181,1768.965,NVIDIA H200,132,9,0
byte,1,7,100000000,700000000,1.000,256,1056,10,200,0.603681,1159.553,NVIDIA H200,132,9,0
byte,1,8,100000000,800000000,1.000,256,1056,10,200,0.630561,1268.712,NVIDIA H200,132,9,0
