strategy,plane_bytes,k,n,logical_bytes,overfetch_factor,block,grid,warmup,iters,ms_per_iter,logical_GBps,device,sm,cc_major,cc_minor
byte,1,1,100000000,100000000,1.000,256,1056,10,200,0.139732,715.655,NVIDIA H200,132,9,0
byte,1,2,100000000,200000000,1.000,256,1056,10,200,0.162060,1234.108,NVIDIA H200,132,9,0
byte,1,3,100000000,300000000,1.000,256,1056,10,200,0.176880,1696.061,NVIDIA H200,132,9,0
byte,1,4,100000000,400000000,1.000,256,1056,10,200,0.195624,2044.737,NVIDIA H200,132,9,0
byte,1,5,100000000,500000000,1.000,256,1056,10,200,0.216400,2310.539,NVIDIA H200,132,9,0
byte,1,6,100000000,600000000,1.000,256,1056,10,200,0.251080,2389.673,NVIDIA H200,132,9,0
byte,1,7,100000000,700000000,1.000,256,1056,10,200,0.308001,2272.717,NVIDIA H200,132,9,0
byte,1,8,100000000,800000000,1.000,256,1056,10,200,0.379362,2108.803,NVIDIA H200,132,9,0
