strategy,plane_bytes,k,n,logical_bytes,overfetch_factor,block,grid,warmup,iters,ms_per_iter,logical_GBps,device,sm,cc_major,cc_minor
byte,1,1,1000000,1000000,1.000,256,1056,1,5,1764.325439,0.001,NVIDIA H200,132,9,0
byte,1,2,1000000,2000000,1.000,256,1056,1,5,1799.923584,0.001,NVIDIA H200,132,9,0
byte,1,3,1000000,3000000,1.000,256,1056,1,5,1770.096069,0.002,NVIDIA H200,132,9,0
byte,1,4,1000000,4000000,1.000,256,1056,1,5,1779.428101,0.002,NVIDIA H200,132,9,0
byte,1,5,1000000,5000000,1.000,256,1056,1,5,1796.651733,0.003,NVIDIA H200,132,9,0
byte,1,6,1000000,6000000,1.000,256,1056,1,5,1780.387695,0.003,NVIDIA H200,132,9,0
byte,1,7,1000000,7000000,1.000,256,1056,1,5,1773.789307,0.004,NVIDIA H200,132,9,0
byte,1,8,1000000,8000000,1.000,256,1056,1,5,1784.639648,0.004,NVIDIA H200,132,9,0
