strategy,plane_bytes,k,n,logical_bytes,overfetch_factor,block,grid,warmup,iters,ms_per_iter,logical_GBps,device,sm,cc_major,cc_minor
byte,1,1,1000000,1000000,1.000,256,1056,1,5,0.004570,218.838,NVIDIA H200,132,9,0
byte,1,2,1000000,2000000,1.000,256,1056,1,5,0.004410,453.556,NVIDIA H200,132,9,0
byte,1,3,1000000,3000000,1.000,256,1056,1,5,0.004499,666.785,NVIDIA H200,132,9,0
byte,1,4,1000000,4000000,1.000,256,1056,1,5,0.004685,853.825,NVIDIA H200,132,9,0
byte,1,5,1000000,5000000,1.000,256,1056,1,5,0.005094,981.470,NVIDIA H200,132,9,0
byte,1,6,1000000,6000000,1.000,256,1056,1,5,0.005171,1160.272,NVIDIA H200,132,9,0
byte,1,7,1000000,7000000,1.000,256,1056,1,5,0.005485,1276.254,NVIDIA H200,132,9,0
byte,1,8,1000000,8000000,1.000,256,1056,1,5,0.005555,1440.092,NVIDIA H200,132,9,0
