strategy,plane_bytes,k,n,logical_bytes,overfetch_factor,block,grid,warmup,iters,ms_per_iter,logical_GBps,device,sm,cc_major,cc_minor
byte,1,1,100000000,100000000,1.000,256,1056,10,200,0.139811,715.252,NVIDIA H200,132,9,0
byte,1,2,100000000,200000000,1.000,256,1056,10,200,0.162281,1232.428,NVIDIA H200,132,9,0
byte,1,3,100000000,300000000,1.000,256,1056,10,200,0.176952,1695.370,NVIDIA H200,132,9,0
byte,1,4,100000000,400000000,1.000,256,1056,10,200,0.195611,2044.878,NVIDIA H200,132,9,0
byte,1,5,100000000,500000000,1.000,256,1056,10,200,0.216459,2309.906,NVIDIA H200,132,9,0
byte,1,6,100000000,600000000,1.000,256,1056,10,200,0.251336,2387.242,NVIDIA H200,132,9,0
byte,1,7,100000000,700000000,1.000,256,1056,10,200,0.308166,2271.506,NVIDIA H200,132,9,0
byte,1,8,100000000,800000000,1.000,256,1056,10,200,0.379852,2106.085,NVIDIA H200,132,9,0
